book_id;authors;original_title
760;Gabriel García Márquez, Edith Grossman;Memoria de mis putas tristes
771;Brian Greene;The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory
816;Neal Stephenson;Cryptonomicon
822;Neal Stephenson;The Confusion
823;Neal Stephenson;Quicksilver
825;Neal Stephenson;Zodiac
827;Neal Stephenson;The Diamond Age
830;Neal Stephenson;Snow Crash
840;Donald A. Norman;The Psychology of Everyday Things
865;Paulo Coelho, Alan R. Clarke;O Alquimista
870;Hiromu Arakawa, Akira Watanabe;鋼の錬金術師 1
880;Robert   Harris;Pompeii
890;John Steinbeck;Of Mice and Men 
900;Neil Strauss;The Game
902;Ellen Raskin;The Westing Game
903;Zilpha Keatley Snyder;The Egypt Game
930;Arthur Golden;Memoirs of a Geisha
952;Gary Chapman, D. Ross Campbell;The Five Love Languages of Children
960;Dan Brown;Angels & Demons 
968;Dan Brown;The Da Vinci Code
976;Dan Brown;Deception Point
998;Thomas J. Stanley, William D. Danko;The Millionaire Next Door: The Surprising Secrets of America's Wealthy
1005;Napoleon Hill;Think and Grow Rich
1032;Donald J. Trump, Tony Schwartz;Trump: The Art of the Deal
